"X","FINAL_ID","PHYLUM","CLASS","ORDER","FAMILY","SUBFAMILY","GENUS","SPECIES","MACRO_GENSPECIES","FEEDINGHAB","TOLERANCE","NBI_P_TOLERANCE","NBI_N_TOLERANCE","TOLNAME","CLASSIFIER","PREVNAMES","COMMONNAME","REFERENCE"
858,"crangonyx_sp.","arthropoda","crustacea","amphipoda","crangonyctidae","crangonyctidae","crangonyx","crangonyx","crangonyx","c-g",6,NA,NA,"facultative","crustacea",NA,"scud","108"
1316,"echinogammarus_ischnus","arthropoda","crustacea","amphipoda","gammaridae","gammaridae","echinogammarus","echinogammarus_ischnus","echinogammarus ischnus","c-g",9,NA,NA,"tolerant","crustacea",NA,"scud",NA
860,"gammarus_fasciatus","arthropoda","crustacea","amphipoda","gammaridae","gammaridae","gammarus","gammarus_fasciatus","gammarus fasciatus","c-g",6,NA,NA,"facultative","crustacea",NA,"scud","17,57"
861,"gammarus_pseudolimnaeus","arthropoda","crustacea","amphipoda","gammaridae","gammaridae","gammarus","gammarus","gammarus pseudolimnaeus","c-g",4,NA,NA,"intolerant","crustacea",NA,"scud","17,57"
863,"gammarus_sp.","arthropoda","crustacea","amphipoda","gammaridae","gammaridae","gammarus","gammarus","gammarus","c-g",6,8,9,"facultative","crustacea",NA,"scud","17,57"
862,"gammarus_tigrinus","arthropoda","crustacea","amphipoda","gammaridae","gammaridae","gammarus","gammarus_tigrinus","gammarus tigrinus","c-g",6,NA,NA,"facultative","crustacea",NA,"scud","17,57"
868,"hyalella_azteca","arthropoda","crustacea","amphipoda","talitridae","talitridae","hyalella","hyalella_azteca","hyalella azteca","c-g",8,NA,NA,"tolerant","crustacea",NA,"scud","17"
869,"hyalella_sp.","arthropoda","crustacea","amphipoda","talitridae","talitridae","hyalella","hyalella","hyalella","c-g",8,NA,NA,"tolerant","crustacea",NA,"scud","17"
865,"monoculodes_edwardsi","arthropoda","crustacea","amphipoda","oedicerotidae","oedicerotidae","monoculodes","monoculodes_edwardsi","monoculodes edwardsi","c-g",5,NA,NA,"facultative","crustacea",NA,"scud","17"
866,"monoculodes_sp.","arthropoda","crustacea","amphipoda","oedicerotidae","oedicerotidae","monoculodes","monoculodes","monoculodes","c-g",5,NA,NA,"facultative","crustacea",NA,"scud","17"
859,"undetermined_crangonyctidae","arthropoda","crustacea","amphipoda","crangonyctidae","crangonyctidae","crangonyctidae","undetermined_crangonyctidae","crangonyctidae","c-g",6,NA,NA,"facultative","crustacea",NA,"scud","108"
864,"undetermined_gammaridae","arthropoda","crustacea","amphipoda","gammaridae","gammaridae","gammaridae","undetermined_gammaridae","gammaridae","c-g",6,NA,NA,"facultative","crustacea",NA,"scud","17,57"
867,"undetermined_oedicerotidae","arthropoda","crustacea","amphipoda","oedicerotidae","oedicerotidae","oedicerotidae","undetermined_oedicerotidae","oedicerotidae","c-g",5,NA,NA,"facultative","crustacea",NA,"scud","17"
870,"undetermined_talitridae","arthropoda","crustacea","amphipoda","talitridae","talitridae","talitridae","undetermined_talitridae","talitridae","c-g",8,NA,NA,"tolerant","crustacea",NA,"scud","17"
604,"boyeria_sp.","arthropoda","insecta","odonata","aeschnidae","aeschnidae","boyeria","boyeria","boyeria","prd",2,NA,NA,"intolerant","insects-other",NA,"dragonfly","83,122"
603,"boyeria_vinosa","arthropoda","insecta","odonata","aeschnidae","aeschnidae","boyeria","boyeria_vinosa","boyeria vinosa","prd",2,NA,NA,"intolerant","insects-other",NA,"dragonfly","83,122"
780,"nigronia_serricornis","arthropoda","insecta","megaloptera","corydalidae","corydalidae","nigronia","nigronia_serricornis","nigronia serricornis","prd",4,10,8,"intolerant","insects-other","nigronia sp.","dobsonfly","83,76"
